Shipment ID,Order ID,Sender ID,Receiver ID,Sender Location,Receiver Location,Courier Service,Delivery Hub,Shipment Weight (kg),Distance (km),Estimated Delivery (days),Actual Delivery (days),Shipment Status,Current Location,Shipping Cost,Payment Status,Tracking Number,Customer Rating,Review Comments
SHIP583089,ORD918891,SND6778,RCV4452,Pune,Pune,India Post,Kolkata Hub,8.47,1167.75,4,2,Delayed,Mumbai,470.06,Failed,TRK520952,,
SHIP320202,ORD387108,SND3519,RCV8892,Pune,Delhi,Blue Dart,Hyderabad Hub,7.32,1850.45,6,8,Delayed,Bangalore,414.22,Pending,TRK954833,,
SHIP819787,ORD815738,SND6183,RCV8084,Hyderabad,Mumbai,India Post,Kolkata Hub,10.48,742.54,1,1,Lost,Bangalore,686.11,Paid,TRK330174,,
SHIP193129,ORD445381,SND7086,RCV2837,Ahmedabad,Delhi,FedEx,Hyderabad Hub,7.25,1166.96,1,-1,In Transit,Chennai,1106.03,Paid,TRK863031,,
SHIP660627,ORD385264,SND3014,RCV6735,Kolkata,Chennai,DTDC,Delhi Hub,9.31,642.9,9,12,Delivered,Chennai,1228.12,Failed,TRK189004,4.3,Late delivery
SHIP366204,ORD176557,SND3507,RCV8902,Ahmedabad,Bangalore,UPS,Mumbai Hub,9.13,1075.41,7,7,Lost,Pune,1739.77,Failed,TRK132001,,
SHIP818104,ORD339872,SND9278,RCV2795,Hyderabad,Delhi,DTDC,Chennai Hub,15.82,860.73,1,-1,Delivered,Delhi,1801.22,Pending,TRK514320,4.2,On-time service
SHIP786779,ORD255675,SND2212,RCV3279,Ahmedabad,Pune,Blue Dart,Hyderabad Hub,16.31,441.09,9,11,Returned,Bangalore,250.78,Failed,TRK892613,,
SHIP544415,ORD298601,SND9909,RCV7046,Bangalore,Hyderabad,Blue Dart,Hyderabad Hub,2.02,344.17,6,7,In Transit,Chennai,1180.7,Pending,TRK896540,,
SHIP858340,ORD862555,SND2666,RCV7565,Bangalore,Hyderabad,FedEx,Hyderabad Hub,11.12,1534.91,1,-1,Out for Delivery,Mumbai,898.85,Failed,TRK351382,,
SHIP571978,ORD382312,SND8666,RCV2562,Bangalore,Delhi,Amazon Logistics,Mumbai Hub,15.02,361.81,1,1,Returned,Kolkata,618.16,Pending,TRK522037,,
SHIP679314,ORD984479,SND5346,RCV5739,Chennai,Pune,UPS,Mumbai Hub,11.19,1459.8,4,6,Out for Delivery,Chennai,1816.14,Failed,TRK836536,,
SHIP895949,ORD788291,SND4016,RCV6294,Pune,Hyderabad,Blue Dart,Kolkata Hub,4.86,1873.17,5,4,Lost,Mumbai,1706.93,Failed,TRK420550,,
SHIP715428,ORD945516,SND5808,RCV3763,Delhi,Pune,UPS,Chennai Hub,3.47,1520.25,1,-1,Delivered,Pune,1025.18,Pending,TRK705074,1.2,On-time service
SHIP467496,ORD929401,SND9127,RCV6433,Pune,Hyderabad,Blue Dart,Bangalore Hub,3.89,1023.89,5,6,Delivered,Hyderabad,567.77,Paid,TRK512073,2.5,Late delivery
